time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-09-01T00:00:00.0000000Z,2021-10-01T00:00:00.0000000Z,2021-09-30T12:07:25.5420000Z,2021-09-30T23:59:39.3160000Z,6.699,6.769,5.935,6.027,1814674.7,41893
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-01T00:00:11.0800000Z,2021-10-31T23:58:07.7340000Z,6.022,8.943,5.784,8.129,3621125.8,118867
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:25.9290000Z,2021-11-30T23:59:36.1820000Z,8.157,120.047,7.163,8.226,6424407.1,376298
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:00:47.5640000Z,2021-12-02T16:09:58.7610000Z,8.218,9.296,8.181,9.021,217214.1,10208
