exchange,id,data_start
BINANCE,BINANCE_SPOT_WABI_BNB,2017-12-12
BINANCE,BINANCE_SPOT_LTC_ETH,2017-12-13
BINANCE,BINANCE_SPOT_LTC_USDT,2017-12-13
BINANCE,BINANCE_SPOT_LTC_BNB,2017-12-13
BINANCE,BINANCE_SPOT_WAVES_BTC,2017-12-15
BINANCE,BINANCE_SPOT_WAVES_ETH,2017-12-15
BINANCE,BINANCE_SPOT_WAVES_BNB,2017-12-15
BINANCE,BINANCE_SPOT_DLT_BTC,2017-11-10
BINANCE,BINANCE_SPOT_ICX_BTC,2017-12-18
BINANCE,BINANCE_SPOT_ICX_ETH,2017-12-18
BINANCE,BINANCE_SPOT_GTO_BTC,2017-12-18
BINANCE,BINANCE_SPOT_ELF_ETH,2017-12-21
BINANCE,BINANCE_SPOT_ELF_BTC,2017-12-21
BINANCE,BINANCE_SPOT_AION_BTC,2017-12-21
BINANCE,BINANCE_SPOT_AION_ETH,2017-12-21
BINANCE,BINANCE_SPOT_NEBL_ETH,2017-12-22
BINANCE,BINANCE_SPOT_NEBL_BTC,2017-12-22
BINANCE,BINANCE_SPOT_GVT_BTC,2017-11-16
BINANCE,BINANCE_SPOT_BRD_ETH,2017-12-24
BINANCE,BINANCE_SPOT_BRD_BTC,2017-12-24
BINANCE,BINANCE_SPOT_NAV_BTC,2017-12-27
BINANCE,BINANCE_SPOT_SNGLS_BTC,2017-09-19
BINANCE,BINANCE_SPOT_APPC_BTC,2018-01-05
BINANCE,BINANCE_SPOT_CDT_BTC,2017-11-16
BINANCE,BINANCE_SPOT_CDT_ETH,2017-11-16
BINANCE,BINANCE_SPOT_RLC_BTC,2018-01-12
BINANCE,BINANCE_SPOT_RLC_ETH,2018-01-12
BINANCE,BINANCE_SPOT_VGX_BTC,2017-09-22
BINANCE,BINANCE_SPOT_VGX_ETH,2017-09-22
BINANCE,BINANCE_SPOT_PIVX_BTC,2018-01-23
BINANCE,BINANCE_SPOT_PIVX_ETH,2018-01-23
BINANCE,BINANCE_SPOT_IOST_ETH,2018-01-24
BINANCE,BINANCE_SPOT_IOST_BTC,2018-01-24
BINANCE,BINANCE_SPOT_STEEM_ETH,2018-02-01
BINANCE,BINANCE_SPOT_STEEM_BTC,2018-02-01
BINANCE,BINANCE_SPOT_NANO_BTC,2018-02-02
BINANCE,BINANCE_SPOT_NANO_ETH,2018-02-02
BINANCE,BINANCE_SPOT_BLZ_ETH,2018-02-06
BINANCE,BINANCE_SPOT_BAT_BNB,2017-11-13
BINANCE,BINANCE_SPOT_BLZ_BTC,2018-02-06
BINANCE,BINANCE_SPOT_PPT_BTC,2017-12-01
BINANCE,BINANCE_SPOT_NCASH_ETH,2018-02-26
BINANCE,BINANCE_SPOT_ZIL_ETH,2018-03-05
BINANCE,BINANCE_SPOT_ZIL_BTC,2018-03-05
BINANCE,BINANCE_SPOT_ZIL_BNB,2018-03-05
BINANCE,BINANCE_SPOT_ONT_ETH,2018-03-08
BINANCE,BINANCE_SPOT_ONT_BTC,2018-03-08
BINANCE,BINANCE_SPOT_ICX_BNB,2017-12-18
BINANCE,BINANCE_SPOT_QTUM_USDT,2018-03-19
BINANCE,BINANCE_SPOT_XEM_ETH,2018-03-20
BINANCE,BINANCE_SPOT_XEM_BTC,2018-03-20
BINANCE,BINANCE_SPOT_RCN_BTC,2017-11-08
BINANCE,BINANCE_SPOT_NAV_ETH,2017-12-27
BINANCE,BINANCE_SPOT_WAN_ETH,2018-03-23
BINANCE,BINANCE_SPOT_WAN_BTC,2018-03-23
BINANCE,BINANCE_SPOT_WTC_BNB,2017-11-10
BINANCE,BINANCE_SPOT_QLC_BTC,2018-03-26
BINANCE,BINANCE_SPOT_QLC_ETH,2018-03-26
BINANCE,BINANCE_SPOT_SYS_BTC,2018-03-28
BINANCE,BINANCE_SPOT_GRS_BTC,2018-04-04
BINANCE,BINANCE_SPOT_POA_BTC,2018-02-28
BINANCE,BINANCE_SPOT_ADA_BNB,2018-04-17
BINANCE,BINANCE_SPOT_ADA_USDT,2018-04-17
BINANCE,BINANCE_SPOT_OST_BTC,2017-12-19
BINANCE,BINANCE_SPOT_OST_ETH,2017-12-19
BINANCE,BINANCE_SPOT_LOOM_BTC,2018-05-02
BINANCE,BINANCE_SPOT_LOOM_ETH,2018-05-02
BINANCE,BINANCE_SPOT_BLZ_BNB,2018-02-06
BINANCE,BINANCE_SPOT_XRP_USDT,2018-05-04
BINANCE,BINANCE_SPOT_REP_ETH,2018-05-11
BINANCE,BINANCE_SPOT_REP_BTC,2018-05-11
BINANCE,BINANCE_SPOT_VIA_BTC,2018-02-05
BINANCE,BINANCE_SPOT_ETH_TUSD,2018-05-22
BINANCE,BINANCE_SPOT_BTC_TUSD,2018-05-22
BINANCE,BINANCE_SPOT_ZEN_ETH,2018-05-23
BINANCE,BINANCE_SPOT_ZEN_BTC,2018-05-23
BINANCE,BINANCE_SPOT_ZEN_BNB,2018-05-23
BINANCE,BINANCE_SPOT_EOS_USDT,2018-05-28
BINANCE,BINANCE_SPOT_EOS_BNB,2018-05-28
BINANCE,BINANCE_SPOT_CVC_BTC,2018-05-28
BINANCE,BINANCE_SPOT_CVC_ETH,2018-05-28
BINANCE,BINANCE_SPOT_THETA_BTC,2018-05-29
BINANCE,BINANCE_SPOT_THETA_ETH,2018-05-29
BINANCE,BINANCE_SPOT_THETA_BNB,2018-05-29
BINANCE,BINANCE_SPOT_XRP_BNB,2018-05-31
BINANCE,BINANCE_SPOT_IOTA_USDT,2018-05-31
BINANCE,BINANCE_SPOT_TUSD_USDT,2018-05-31
BINANCE,BINANCE_SPOT_XLM_USDT,2018-05-31
BINANCE,BINANCE_SPOT_IOTX_ETH,2018-06-01
BINANCE,BINANCE_SPOT_IOTX_BTC,2018-06-01
BINANCE,BINANCE_SPOT_ONT_BNB,2018-03-08
BINANCE,BINANCE_SPOT_QKC_ETH,2018-06-05
BINANCE,BINANCE_SPOT_QKC_BTC,2018-06-05
BINANCE,BINANCE_SPOT_NXS_BTC,2018-06-06
BINANCE,BINANCE_SPOT_ENJ_BNB,2018-06-07
BINANCE,BINANCE_SPOT_DATA_ETH,2018-06-08
BINANCE,BINANCE_SPOT_DATA_BTC,2018-06-08
BINANCE,BINANCE_SPOT_ONT_USDT,2018-06-08
BINANCE,BINANCE_SPOT_TRX_USDT,2018-06-11
BINANCE,BINANCE_SPOT_ETC_USDT,2018-06-12
BINANCE,BINANCE_SPOT_ETC_BNB,2018-06-12
BINANCE,BINANCE_SPOT_TRX_BNB,2018-06-12
BINANCE,BINANCE_SPOT_ICX_USDT,2018-06-13
BINANCE,BINANCE_SPOT_SC_ETH,2018-06-14
BINANCE,BINANCE_SPOT_SC_BTC,2018-06-14
BINANCE,BINANCE_SPOT_SC_BNB,2018-06-14
