"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"22.11.2021","1,99294","2,05900","2,05900","1,93400","1,14M","-3,21%"
"21.11.2021","2,05900","2,05000","2,09900","2,00800","1,14M","0,44%"
"20.11.2021","2,05000","1,99300","2,06300","1,96800","1,64M","2,86%"
"19.11.2021","1,99300","1,94000","2,00700","1,86800","1,82M","2,73%"
"18.11.2021","1,94000","2,19800","2,22000","1,91699","2,26M","-11,54%"
"17.11.2021","2,19300","1,99173","2,65800","1,92172","10,11M","10,11%"
"16.11.2021","1,99173","2,13292","2,13292","1,88875","1,88M","-6,62%"
"15.11.2021","2,13292","2,09361","2,14692","2,06492","1,15M","1,83%"
"14.11.2021","2,09461","2,11199","2,11799","2,04268","924,65K","-0,82%"
"13.11.2021","2,11199","2,07500","2,19100","2,06700","1,77M","1,78%"
"12.11.2021","2,07500","2,12300","2,12600","2,00000","1,61M","-2,26%"
"11.11.2021","2,12300","2,07799","2,18000","2,07099","2,09M","2,17%"
"10.11.2021","2,07799","2,17797","2,23899","1,99899","1,41M","-4,59%"
"09.11.2021","2,17797","2,16600","2,20700","2,13700","1,13M","0,46%"
"08.11.2021","2,16800","2,14400","2,18000","2,11200","856,41K","1,12%"
"07.11.2021","2,14400","2,15900","2,16300","2,10400","1,42M","-0,69%"
"06.11.2021","2,15900","2,12733","2,24539","2,07999","846,84K","1,49%"
"05.11.2021","2,12733","2,16496","2,18156","2,09934","870,65K","-1,74%"
"04.11.2021","2,16496","2,17598","2,18698","2,09797","1,46M","-0,51%"
"03.11.2021","2,17598","2,22889","2,23289","2,09390","1,17M","-2,37%"
"02.11.2021","2,22889","2,19200","2,23900","2,13200","1,11M","1,64%"
"01.11.2021","2,19300","2,26283","2,36683","2,09986","2,15M","-3,09%"
"31.10.2021","2,26283","2,14300","2,38086","2,06500","2,97M","5,59%"
"30.10.2021","2,14300","2,05684","2,14300","2,00882","993,52K","4,19%"
"29.10.2021","2,05684","1,97593","2,05984","1,96093","849,14K","4,09%"
"28.10.2021","1,97593","1,88300","1,98393","1,83300","1,01M","4,88%"
"27.10.2021","1,88400","2,08522","2,10825","1,81863","1,86M","-9,74%"
"26.10.2021","2,08722","2,12900","2,13903","2,07321","936,95K","-1,96%"
"25.10.2021","2,12900","2,08999","2,13000","2,07099","496,74K","1,87%"
"24.10.2021","2,08999","2,14200","2,15300","2,04899","665,56K","-2,43%"
"23.10.2021","2,14200","2,14500","2,20600","2,09600","981,02K","-0,14%"
"22.10.2021","2,14500","2,05600","2,34400","2,05500","2,72M","4,33%"
"21.10.2021","2,05600","2,16394","2,16811","2,03431","1,32M","-4,99%"
"20.10.2021","2,16394","2,06800","2,16394","2,03400","1,08M","4,64%"
"19.10.2021","2,06800","2,01900","2,07600","1,99000","1,37M","2,43%"
"18.10.2021","2,01900","2,08985","2,09986","1,97293","1,64M","-3,39%"
"17.10.2021","2,08985","2,12589","2,13388","2,01583","823,25K","-1,70%"
"16.10.2021","2,12589","2,13061","2,16197","2,08262","1,02M","-0,22%"
"15.10.2021","2,13061","2,30200","2,30700","2,08553","1,54M","-7,45%"
"14.10.2021","2,30200","2,28196","2,33096","2,25496","814,85K","0,88%"
"13.10.2021","2,28196","2,19690","2,28996","2,12087","1,12M","3,87%"
"12.10.2021","2,19690","2,33700","2,44700","2,08300","1,72M","-5,99%"
"11.10.2021","2,33700","2,35600","2,43600","2,24400","1,58M","-0,81%"
"10.10.2021","2,35600","2,28977","2,68676","2,27677","4,10M","2,89%"
"09.10.2021","2,28977","2,38199","2,49400","2,20999","2,08M","-3,87%"
"08.10.2021","2,38199","2,27525","2,78795","2,25526","3,45M","4,69%"
"07.10.2021","2,27525","2,24387","2,34864","2,19467","1,63M","1,40%"
"06.10.2021","2,24387","2,15300","2,41800","2,08600","4,66M","4,22%"
"05.10.2021","2,15300","2,02797","2,18996","2,00697","1,29M","6,16%"
"04.10.2021","2,02797","2,05100","2,11400","1,94600","1,37M","-1,12%"
"03.10.2021","2,05100","2,04592","2,09395","1,96691","1,30M","0,25%"
"02.10.2021","2,04592","2,01000","2,12800","2,00700","1,24M","1,79%"
"01.10.2021","2,01000","1,85099","2,01700","1,83199","2,20M","8,59%"
"30.09.2021","1,85099","1,69153","1,94699","1,68752","2,88M","9,49%"
"29.09.2021","1,69053","1,67100","1,74998","1,62500","1,01M","1,17%"
"28.09.2021","1,67100","1,79095","1,80495","1,66500","1,13M","-6,70%"
"27.09.2021","1,79095","1,87398","1,91998","1,78695","1,24M","-4,43%"
"26.09.2021","1,87398","1,94700","1,94700","1,74200","1,47M","-3,75%"
"25.09.2021","1,94700","1,97200","2,00200","1,85300","1,84M","-1,27%"
"24.09.2021","1,97200","2,14600","2,21400","1,84000","2,07M","-8,11%"
"23.09.2021","2,14600","2,12300","2,15500","1,99300","1,90M","1,08%"
"22.09.2021","2,12300","1,92699","2,12700","1,85199","2,59M","10,17%"
"21.09.2021","1,92699","2,03599","2,22299","1,86099","2,18M","-4,89%"
"20.09.2021","2,02599","2,46799","2,48599","1,98999","2,29M","-17,91%"
"19.09.2021","2,46799","2,58420","2,58620","2,45599","929,06K","-4,50%"
"18.09.2021","2,58420","2,58099","2,61198","2,51099","620,25K","0,12%"
"17.09.2021","2,58099","2,61090","2,74390","2,48493","1,13M","-1,15%"
"16.09.2021","2,61090","2,67999","2,70699","2,56096","714,99K","-2,58%"
"15.09.2021","2,67999","2,59833","2,68999","2,50853","930,42K","3,14%"
"14.09.2021","2,59833","2,51196","2,60301","2,44996","1,16M","3,44%"
"13.09.2021","2,51196","2,71375","2,71675","2,37298","1,57M","-7,44%"
"12.09.2021","2,71375","2,70100","2,84300","2,56600","2,65M","0,47%"
"11.09.2021","2,70100","2,56499","2,98100","2,38100","2,81M","5,30%"
"10.09.2021","2,56499","2,42699","2,63897","2,31398","2,75M","5,69%"
"09.09.2021","2,42699","2,37998","2,48396","2,30398","1,43M","1,89%"
"08.09.2021","2,38198","2,31095","2,43395","2,00996","1,98M","3,07%"
"07.09.2021","2,31095","2,92500","2,92500","2,19999","2,29M","-20,99%"
"06.09.2021","2,92500","2,72800","2,99400","2,72100","2,47M","7,22%"
"05.09.2021","2,72800","2,72300","3,20000","2,66500","3,69M","0,18%"
"04.09.2021","2,72300","2,54500","2,81900","2,50600","2,48M","6,99%"
"03.09.2021","2,54500","2,43500","2,55300","2,37000","1,61M","4,52%"
"02.09.2021","2,43500","2,38100","2,63800","2,38100","2,87M","2,27%"
"01.09.2021","2,38100","2,33199","2,39000","2,23999","1,12M","2,10%"
"31.08.2021","2,33199","2,22495","2,58698","2,16197","3,16M","4,81%"
"30.08.2021","2,22495","2,26436","2,28418","2,19203","1,00M","-1,74%"
"29.08.2021","2,26436","2,31383","2,31583","2,19485","1,30M","-2,14%"
"28.08.2021","2,31383","2,33296","2,34699","2,25800","9,35M","-0,82%"
"27.08.2021","2,33296","2,22300","2,33896","2,09500","890,36K","4,71%"
"26.08.2021","2,22800","2,37011","2,48344","2,17251","1,48M","-6,00%"
"25.08.2021","2,37011","2,31729","2,38041","2,15107","1,75M","3,17%"
"24.08.2021","2,29719","2,40166","2,50897","2,22101","2,18M","-4,35%"
"23.08.2021","2,40166","2,34410","2,42610","2,30300","1,62M","2,64%"
"22.08.2021","2,34000","2,21997","2,52000","2,21217","3,12M","5,41%"
"21.08.2021","2,21997","2,21035","2,31943","2,14032","1,60M","0,44%"
"20.08.2021","2,21035","2,13030","2,21605","2,09620","1,30M","3,76%"
"19.08.2021","2,13030","2,04531","2,13220","1,97236","1,28M","4,15%"
"18.08.2021","2,04531","2,10618","2,12248","1,99980","1,47M","-2,89%"
"17.08.2021","2,10618","2,25385","2,28187","2,09954","1,57M","-6,55%"
"16.08.2021","2,25385","2,31770","2,35660","2,21060","1,37M","-2,75%"
"15.08.2021","2,31770","2,30138","2,32280","2,17808","2,12M","0,71%"
"14.08.2021","2,30138","2,20100","2,32698","2,14590","2,35M","4,56%"
"13.08.2021","2,20100","2,05820","2,20500","2,03910","1,34M","6,94%"
"12.08.2021","2,05820","2,16131","2,24657","1,99020","2,31M","-4,77%"
"11.08.2021","2,16131","2,08840","2,23066","2,05700","2,24M","3,49%"
"10.08.2021","2,08840","2,06215","2,09140","1,98180","18,15M","1,27%"
"09.08.2021","2,06215","2,01445","2,07264","1,90535","2,09M","2,37%"
"08.08.2021","2,01445","2,14447","2,19067","1,97116","1,69M","-6,06%"
"07.08.2021","2,14447","2,01490","2,17307","1,97550","2,24M","6,47%"
"06.08.2021","2,01420","1,95670","2,02460","1,90580","1,62M","2,98%"
"05.08.2021","1,95600","1,94000","1,96380","1,83400","1,41M","0,82%"
"04.08.2021","1,94000","1,88550","1,97010","1,82140","1,76M","3,31%"
"03.08.2021","1,87790","1,95090","1,98000","1,82250","1,82M","-3,74%"
"02.08.2021","1,95090","1,88249","2,19960","1,81829","7,29M","3,63%"
