time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2021-10-01T00:00:00.0000000Z,2021-11-01T00:00:00.0000000Z,2021-10-08T10:15:53.9820000Z,2021-10-31T23:53:16.5170000Z,0.1661,0.23568,0.12221,0.13423,1105678514.6,722606
2021-11-01T00:00:00.0000000Z,2021-12-01T00:00:00.0000000Z,2021-11-01T00:00:55.4060000Z,2021-11-30T23:56:21.6030000Z,0.13388,0.18766,0.11826,0.14376,371153331.9,230602
2021-12-01T00:00:00.0000000Z,2022-01-01T00:00:00.0000000Z,2021-12-01T00:01:52.4000000Z,2021-12-02T16:08:00.1850000Z,0.1431,0.1533,0.14233,0.1448,4256513.2,4820
